#---------- Sun Nov 23 15:05:32 PST 2025 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
87,true,0.01,1
88,true,0.01,1
89,true,0.01,1
90,true,0.01,1
91,true,0.01,1
92,true,0.01,1
93,true,0.01,1
94,true,0.01,1
95,true,0.01,1
96,true,0.01,1
97,true,0.01,1
98,false,0.01,1
99,false,0.01,1
100,true,0.01,1
101,true,0.01,1
102,true,0.01,1
103,false,0.01,1
104,true,0.01,1
105,true,0.01,1
106,true,0.01,1
107,true,0.01,1
108,true,0.01,1
109,true,0.01,1
110,true,0.01,1
111,true,0.01,1
112,true,0.01,1
113,true,0.01,1
114,false,0.01,1
115,false,0.01,1
116,true,0.01,1
117,true,0.01,1
118,false,0.01,1
119,false,0.01,1
120,true,0.01,1
121,true,0.01,1
122,false,0.01,1
123,false,0.01,1
124,true,0.01,1
125,true,0.01,1
126,false,0.01,1
127,true,0.01,1
128,false,0.01,1
129,false,0.01,1
130,true,0.01,1
131,true,0.01,1
132,false,0.01,1
133,false,0.01,1
134,true,0.01,1
135,true,0.01,1
136,false,0.01,1
137,false,0.01,1
138,true,0.01,1
139,true,0.01,1
140,true,0.01,1
141,false,0.01,1
142,true,0.01,1
143,true,0.01,1
144,true,0.01,1
145,true,0.01,1
146,true,0.01,1
147,true,0.01,1
148,true,0.01,1
149,true,0.01,1
150,true,0.01,1
151,true,0.01,1
152,true,0.01,1
153,true,0.01,1
154,true,0.01,1
155,true,0.01,1
156,true,0.01,1
157,true,0.01,1
158,true,0.01,1
159,true,0.01,1
160,false,0.01,1
161,false,0.01,1
162,true,0.01,1
163,true,0.01,1
164,false,0.01,1
165,false,0.01,1
#---------- Mon Nov 24 14:43:42 PST 2025 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
0,true,0.01,1
1,false,0.01,1
2,false,0.01,1
3,false,0.01,1
4,true,0.01,1
5,false,0.01,1
6,false,0.01,1
7,false,0.01,1
#---------- Tue Jun 30 10:08:08 PDT 2026 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
0,true,0.003,1
1,true,0.003,1
#---------- Tue Jun 30 10:17:45 PDT 2026 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
3,true,0.003,1
4,true,0.003,1
#---------- Tue Jun 30 12:56:39 PDT 2026 ----------
#Format: Task Counter Number,Did Simulation Succeed,Last Step Size Used,Number of Simulations Attempted
0,true,0.003,1
1,true,0.003,1
2,true,0.003,1
3,true,0.003,1
4,true,0.003,1
5,true,0.003,1
6,true,0.003,1
7,true,0.003,1
8,true,0.003,1
9,true,0.003,1
10,true,0.003,1
11,true,0.003,1
12,true,0.003,1
13,true,0.003,1
14,true,0.003,1
15,true,0.003,1
16,true,0.003,1
17,true,0.003,1
18,true,0.003,1
19,true,0.003,1
20,true,0.003,1
21,true,0.003,1
22,true,0.003,1
23,true,0.003,1
24,true,0.003,1
25,true,0.003,1
26,true,0.003,1
27,true,0.003,1
28,true,0.003,1
29,true,0.003,1
30,true,0.003,1
31,true,0.003,1
32,true,0.003,1
33,true,0.003,1
34,true,0.003,1
35,true,0.003,1
36,true,0.003,1
37,true,0.003,1
38,true,0.003,1
39,true,0.003,1
40,true,0.003,1
41,true,0.003,1
42,true,0.003,1
43,true,0.003,1
44,true,0.003,1
45,true,0.003,1
46,true,0.003,1
47,true,0.003,1
48,true,0.003,1
49,true,0.003,1
50,false,0.003,1
51,true,0.003,1
52,true,0.003,1
53,true,0.003,1
54,true,0.003,1
55,true,0.003,1
56,true,0.003,1
57,true,0.003,1
58,true,0.003,1
59,true,0.003,1
60,true,0.003,1
61,true,0.003,1
62,true,0.003,1
63,true,0.003,1
64,true,0.003,1
65,true,0.003,1
66,false,0.003,1
67,false,0.003,1
68,true,0.003,1
69,true,0.003,1
70,true,0.003,1
71,true,0.003,1
72,true,0.003,1
73,true,0.003,1
74,true,0.003,1
75,true,0.003,1
76,true,0.003,1
77,true,0.003,1
78,true,0.003,1
79,true,0.003,1
80,true,0.003,1
81,true,0.003,1
82,true,0.003,1
83,true,0.003,1
84,true,0.003,1
85,true,0.003,1
86,true,0.003,1
87,true,0.003,1
88,true,0.003,1
89,true,0.003,1
90,true,0.003,1
91,true,0.003,1
